@relation target-classification

@attribute class {human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
human,0.652,0.589,0.560,0.728,0.631,0.610,3.166,7.000,22.161,0.452,5532.313,0.236,0.094,1450.236,154.000,56.000,0.748,0.196
human,1.154,0.794,0.635,1.231,0.785,0.622,5.499,11.000,60.487,0.500,14612.063,0.544,0.319,6752.635,155.000,166.000,0.202,0.211
human,1.330,1.071,0.873,1.377,1.058,0.944,5.013,10.000,50.133,0.501,14264.732,0.531,0.278,5188.354,122.600,108.000,0.166,0.259
human,1.003,0.749,0.557,1.088,0.828,0.506,3.301,8.000,26.408,0.413,9495.946,0.389,0.195,4212.396,161.800,91.000,0.091,0.201
human,0.986,0.964,0.957,1.080,1.011,0.997,2.387,6.000,14.321,0.398,6812.500,0.296,0.135,1954.096,-4.700,64.000,0.143,0.206
human,1.369,0.518,0.474,1.198,0.634,0.490,4.918,10.000,49.182,0.492,17530.028,0.635,0.396,6577.387,157.400,103.000,0.552,0.286
human,1.866,1.586,1.408,1.931,1.690,1.403,6.041,10.000,60.406,0.604,19457.423,0.680,0.451,6473.845,160.300,111.000,1.352,0.358
human,0.813,0.591,0.535,0.782,0.603,0.556,2.913,7.000,20.393,0.416,17242.917,0.633,0.323,2084.445,-12.800,88.000,0.336,0.259
human,1.184,1.124,0.986,1.263,1.163,0.965,2.991,7.000,20.940,0.427,8187.375,0.344,0.129,1460.199,-5.800,48.000,0.193,0.250
human,1.376,0.726,0.305,1.382,0.744,0.300,4.223,10.000,42.227,0.422,9085.338,0.360,0.142,2184.973,44.000,97.000,0.623,0.272
human,1.941,1.832,1.539,2.155,2.033,1.563,4.089,6.000,24.532,0.681,11381.025,0.416,0.206,4134.125,158.700,85.000,0.274,0.416
human,1.561,1.556,1.441,1.638,1.588,1.408,3.206,6.000,19.235,0.534,20605.100,0.703,0.425,5963.251,-11.200,151.000,0.425,0.303
human,0.889,0.883,0.524,1.100,0.851,0.400,2.241,5.000,11.203,0.448,16386.000,0.560,0.292,5569.399,127.100,100.000,0.407,0.275
human,1.147,0.900,0.582,1.319,0.922,0.315,2.420,5.000,12.099,0.484,5428.438,0.224,0.098,2232.476,134.100,48.000,0.461,0.283
human,1.865,1.445,1.042,1.833,1.483,1.040,7.013,10.000,70.125,0.701,4265.113,0.218,0.102,1651.837,74.000,47.000,0.208,0.323
human,1.378,1.341,1.068,1.436,1.413,1.032,5.547,7.000,38.829,0.792,2723.458,0.164,0.077,594.851,38.500,47.000,0.321,0.301
human,1.847,1.203,1.046,2.023,1.261,1.111,7.455,10.000,74.550,0.745,4582.141,0.228,0.099,1409.110,146.000,62.000,0.455,0.375
human,1.236,0.882,0.862,1.288,0.968,0.935,5.395,8.000,43.160,0.674,1761.357,0.137,0.065,297.603,133.900,45.000,1.572,0.262
human,1.650,1.504,0.994,1.628,1.516,1.015,5.708,9.000,51.370,0.634,6492.937,0.293,0.137,2230.288,130.600,46.000,0.049,0.304
human,1.468,1.168,0.861,1.510,1.143,0.790,5.582,8.000,44.655,0.698,2456.250,0.162,0.074,414.799,39.500,45.000,0.163,0.298
human,1.440,1.187,0.761,1.543,1.171,0.626,3.731,6.000,22.383,0.622,5518.800,0.276,0.133,1290.981,76.000,55.000,0.093,0.322
human,1.261,0.929,0.717,1.296,1.017,0.643,5.938,9.000,53.438,0.660,2801.238,0.170,0.081,867.561,92.000,49.000,0.363,0.267
human,1.636,1.214,0.904,1.729,1.324,0.900,6.229,9.000,56.060,0.692,6589.381,0.297,0.127,1756.044,119.600,56.000,0.196,0.351
human,1.428,1.041,0.965,1.468,1.092,0.996,5.832,8.000,46.660,0.729,4526.554,0.226,0.099,1061.878,94.000,49.000,0.467,0.288
