@relation target-classification

@attribute class {human, car}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
human,0.191,0.225,0.281,0.186,0.241,0.270,0.122,0.123,0.041,0.338,0.116,0.224,0.169,0.046,0.907,0.152,0.260,0.130
human,0.386,0.278,0.217,0.300,0.294,0.200,0.623,0.714,0.500,0.389,0.136,0.264,0.253,0.187,0.911,0.279,0.228,0.198
human,0.448,0.332,0.200,0.404,0.271,0.176,0.633,0.714,0.506,0.402,0.119,0.243,0.224,0.171,0.954,0.303,0.501,0.228
human,0.523,0.330,0.300,0.488,0.325,0.267,0.541,0.572,0.372,0.442,0.201,0.340,0.320,0.235,0.919,0.313,0.168,0.291
human,0.622,0.392,0.360,0.574,0.372,0.361,0.535,0.572,0.369,0.434,0.205,0.346,0.326,0.230,0.921,0.334,0.337,0.322
human,0.450,0.269,0.279,0.420,0.257,0.253,0.436,0.496,0.279,0.376,0.218,0.376,0.340,0.193,0.918,0.294,0.200,0.253
human,0.644,0.486,0.240,0.621,0.476,0.146,0.561,0.499,0.346,0.585,0.190,0.289,0.272,0.287,0.897,0.387,0.220,0.363
human,0.602,0.615,0.763,0.535,0.597,0.617,0.326,0.285,0.148,0.526,0.344,0.461,0.461,0.338,0.985,0.412,0.877,0.348
human,0.407,0.296,0.193,0.343,0.278,0.150,0.489,0.706,0.405,0.220,0.191,0.358,0.304,0.130,0.913,0.198,0.408,0.206
human,0.075,0.111,0.138,0.050,0.097,0.108,0.073,0.049,0.017,0.377,0.074,0.171,0.153,0.050,0.862,0.146,0.089,0.061
human,0.225,0.243,0.231,0.183,0.227,0.154,0.207,0.331,0.116,0.164,0.111,0.286,0.282,0.059,0.920,0.180,0.117,0.088
human,0.272,0.143,0.162,0.227,0.161,0.122,0.387,0.493,0.252,0.296,0.096,0.241,0.217,0.059,0.925,0.198,0.594,0.124
human,0.320,0.353,0.393,0.265,0.314,0.339,0.158,0.188,0.064,0.293,0.131,0.305,0.300,0.104,0.861,0.214,0.222,0.171
human,0.075,0.124,0.150,0.043,0.087,0.094,0.116,0.184,0.051,0.172,0.056,0.189,0.182,0.030,0.909,0.130,0.574,0.000
car,0.390,0.407,0.507,0.399,0.457,0.511,0.237,0.124,0.070,0.748,0.009,0.036,0.028,0.008,0.000,0.025,0.544,0.301
car,0.338,0.298,0.257,0.221,0.282,0.167,0.401,0.275,0.172,0.735,0.053,0.111,0.088,0.066,0.906,0.130,0.105,0.393
car,0.431,0.427,0.437,0.514,0.511,0.333,0.350,0.204,0.127,0.815,0.059,0.135,0.109,0.035,0.919,0.099,0.785,0.474
car,0.335,0.354,0.441,0.458,0.401,0.448,0.213,0.101,0.058,0.750,0.022,0.064,0.054,0.027,0.912,0.059,0.030,0.467
car,0.475,0.503,0.446,0.536,0.549,0.425,0.335,0.205,0.123,0.769,0.023,0.061,0.051,0.030,0.855,0.071,0.105,0.425
